,content,annotation,extras
0, Get fucking real dude.,"{'notes': '', 'label': ['1']}",
1, She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,"{'notes': '', 'label': ['1']}",
2, why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,"{'notes': '', 'label': ['1']}",
3, Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,"{'notes': '', 'label': ['1']}",
4, WTF are you talking about Men? No men thats not a menage  that's just gay.,"{'notes': '', 'label': ['1']}",
5,Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,"{'notes': '', 'label': ['1']}",
6, Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,"{'notes': '', 'label': ['1']}",
7,...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,"{'notes': '', 'label': ['1']}",
8,"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""","{'notes': '', 'label': ['1']}",
9,LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,"{'notes': '', 'label': ['1']}",
10,truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,"{'notes': '', 'label': ['1']}",
11,Shakespeare nerd!,"{'notes': '', 'label': ['1']}",
12,you are SUCH a fucking dork,"{'notes': '', 'label': ['1']}",
13,Heh. Fuck 'em WHERE?!?,"{'notes': '', 'label': ['1']}",
14,damn it i totally forgot that one!,"{'notes': '', 'label': ['1']}",
15,wow  damn I would have been pissed @ that...,"{'notes': '', 'label': ['1']}",
16,nigga u geigh lmao! fuck yo finals beeeeeitch,"{'notes': '', 'label': ['1']}",
17,that sucks :(,"{'notes': '', 'label': ['1']}",
18,"read that this morning. my fav is how they just straight up say ""cum shots""","{'notes': '', 'label': ['1']}",
19,Unibroue 17 !!!! Another damn good Unibroue,"{'notes': '', 'label': ['1']}",
20,damn your evil 60 minute IPA beckoning me from the fridge right now...,"{'notes': '', 'label': ['1']}",
21,It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,"{'notes': '', 'label': ['1']}",
22,it pretty much is a fuck you card..,"{'notes': '', 'label': ['1']}",
23,that karma is a bitch  HUH,"{'notes': '', 'label': ['1']}",
24,don't get too fat or you'll turn into a boomer,"{'notes': '', 'label': ['1']}",
25,the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,"{'notes': '', 'label': ['1']}",
26,except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,"{'notes': '', 'label': ['1']}",
27,man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,"{'notes': '', 'label': ['1']}",
28,hard to kick ass yourself with slippers on?  On it.,"{'notes': '', 'label': ['1']}",
29,Thats pretty damn awesome! Very smart :) @Aaronage Sure!,"{'notes': '', 'label': ['1']}",
30,freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,"{'notes': '', 'label': ['1']}",
31,Damn  that sounds good...,"{'notes': '', 'label': ['1']}",
32,they should have a wii loser..that way you can compete with your wii friends.,"{'notes': '', 'label': ['1']}",
33,@markmancao haha. i love it! gay nights for all!,"{'notes': '', 'label': ['1']}",
34,that's awesome! you're pretty damn good!,"{'notes': '', 'label': ['1']}",
35,Faggoty fag fag. Gay secks man blowjob. Settle down.,"{'notes': '', 'label': ['1']}",
36,Right. That wouldn't be creepy as fuck.,"{'notes': '', 'label': ['1']}",
37,HOLY SHIT. Fuck that band.,"{'notes': '', 'label': ['1']}",
38,Gay fag.,"{'notes': '', 'label': ['1']}",
39,oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,"{'notes': '', 'label': ['1']}",
40,*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,"{'notes': '', 'label': ['1']}",
41,and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,"{'notes': '', 'label': ['1']}",
42, oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,"{'notes': '', 'label': ['1']}",
43,"where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved""","{'notes': '', 'label': ['1']}",
44,It sucks to be done with exams n still be @ Mayag.,"{'notes': '', 'label': ['1']}",
45,Epic WINS for Fuck City&lt;3,"{'notes': '', 'label': ['1']}",
46,Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,"{'notes': '', 'label': ['1']}",
47, aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,"{'notes': '', 'label': ['1']}",
48,fuck yes.  I hate them at work...,"{'notes': '', 'label': ['1']}",
49,Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic,"{'notes': '', 'label': ['1']}",
50,but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!,"{'notes': '', 'label': ['1']}",
51,damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.,"{'notes': '', 'label': ['1']}",
52,I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,"{'notes': '', 'label': ['1']}",
53,damn.  did you buy bitchy too?,"{'notes': '', 'label': ['1']}",
54,then by all means  bitch away! haha.,"{'notes': '', 'label': ['1']}",
55,sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,"{'notes': '', 'label': ['1']}",
56,Let that pussy freeze. Rotten bitey little bastard.,"{'notes': '', 'label': ['1']}",
57,Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,"{'notes': '', 'label': ['1']}",
58,hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.,"{'notes': '', 'label': ['1']}",
59,I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa,"{'notes': '', 'label': ['1']}",
60,imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!,"{'notes': '', 'label': ['1']}",
61,Ugh  twitter stop it  you fucking slut.,"{'notes': '', 'label': ['1']}",
62,HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH,"{'notes': '', 'label': ['1']}",
63,cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha,"{'notes': '', 'label': ['1']}",
64,Fuck the pics! @giove_dea WE WANT VIDS!!,"{'notes': '', 'label': ['1']}",
65,Hard to play because it is damn fucking awful,"{'notes': '', 'label': ['1']}",
66,you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,"{'notes': '', 'label': ['1']}",
67,no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol,"{'notes': '', 'label': ['1']}",
68,oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.,"{'notes': '', 'label': ['1']}",
